new_id,old_id,source
ca_001,ca_001,ccd-bench:40
ca_002,ca_002,ccd-bench:188
ca_003,ca_003,ccd-bench:635
ca_004,ca_004,ccd-bench:99
ca_005,ca_005,ccd-bench:36
ca_006,ca_006,ccd-bench:205
ca_007,ca_007,ccd-bench:274
ca_008,ca_008,ccd-bench:935
ca_009,ca_009,ccd-bench:18
ca_010,ca_011,ccd-bench:654
ca_011,ca_012,ccd-bench:218
ca_012,ca_013,ccd-bench:1479
ca_013,ca_014,ccd-bench:277
ca_014,ca_015,ccd-bench:1472
ca_015,ca_016,ccd-bench:1917
ca_016,ca_017,ccd-bench:1340
ca_017,ca_018,ccd-bench:1370
ca_018,ca_019,ccd-bench:711
ca_019,ca_020,ccd-bench:1863
ca_020,ca_021,ccd-bench:739
ca_021,ca_022,ccd-bench:5
ca_022,ca_023,ccd-bench:1938
ca_023,ca_024,ccd-bench:2060
ca_024,ca_025,ccd-bench:2026
ca_025,ca_026,ccd-bench:470
ca_026,ca_027,ccd-bench:817
ca_027,ca_028,ccd-bench:1700
ca_028,ca_029,ccd-bench:2040
ca_029,ca_030,ccd-bench:1246
ca_030,ca_031,ccd-bench:1022
ca_031,ca_032,ccd-bench:240
ca_032,ca_033,ccd-bench:80
ca_033,ca_034,ccd-bench:138
ca_034,ca_035,ccd-bench:1034
ca_035,ca_036,ccd-bench:1262
ca_036,ca_037,ccd-bench:825
ca_037,ca_038,ccd-bench:32
ca_038,ca_039,ccd-bench:44
ca_039,ca_040,ccd-bench:75
